"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
2,2,36,1,11,2016,"57027_2",4,11
2,3,63,2,11,2016,"57027_5",4,11
2,3,66,2,11,2016,"57027_4",4,11
1,1,18,1,11,2016,"57042_1",2,11
2,2,22,1,11,2016,"57042_2",2,11
2,1,22,4,11,2016,"57138_2",5,11
1,1,33,1,3,2016,"57546_1",4,3
2,2,35,1,3,2016,"57546_2",4,3
1,1,20,1,3,2016,"57547_1",2,3
2,2,28,1,3,2016,"57547_2",3,3
1,3,50,2,3,2016,"57547_3",3,3
2,1,31,1,2,2016,"57621_2",4,2
1,2,22,1,2,2016,"57621_1",4,2
2,1,25,3,11,2016,"57670_1",4,11
2,1,26,1,11,2016,"57779_2",2,11
1,2,22,1,11,2016,"57779_1",3,11
1,1,28,1,19,2016,"57962_1",4,19
2,2,31,1,19,2016,"57962_2",5,19
2,1,16,4,20,2016,"58366_1",4,20
1,1,29,1,7,2016,"60078_1",3,7
2,2,36,1,7,2016,"60078_2",3,7
1,3,72,2,7,2016,"60078_5",3,7
1,1,24,3,3,2016,"91067_1",3,3
2,3,57,2,3,2016,"91067_4",4,3
1,4,79,2,3,2016,"91067_5",1,3
2,1,42,1,14,2016,"91071_2",4,14
1,2,41,1,14,2016,"91071_1",3,1
1,3,70,2,14,2016,"91071_3",3,14
1,3,73,2,14,2016,"91071_4",3,14
2,1,44,3,19,2016,"91074_2",4,19
1,3,67,2,19,2016,"91074_3",4,19
2,3,74,2,19,2016,"91074_4",3,19
2,1,35,1,2,2016,"91079_2",4,4
1,2,36,1,2,2016,"91079_1",4,2
1,3,69,2,2,2016,"91079_3",3,2
1,1,37,1,3,2016,"91081_1",3,3
2,2,41,1,3,2016,"91081_2",5,3
1,1,32,1,20,2016,"91095_1",4,20
2,2,35,1,20,2016,"91095_4",4,4
2,1,13,1,13,2016,"111052_2",2,13
1,2,7,1,13,2016,"111052_1",2,13
1,1,15,4,19,2016,"138399_1",3,19
1,1,26,1,13,2016,"145007_1",5,13
2,2,28,1,13,2016,"145007_2",5,13
1,3,60,2,13,2016,"145007_5",5,13
1,3,62,2,13,2016,"145007_6",4,13
1,1,19,3,4,2016,"178001_1",3,4
1,1,5,2,2,2016,"193016_1",1,2
1,1,19,1,18,2016,"213440_1",4,18
2,2,19,1,18,2016,"213440_2",3,10
2,1,6,4,18,2016,"224048_1",2,13
1,1,15,1,14,2016,"230029_1",3,14
2,2,18,1,14,2016,"230029_2",2,14
1,1,20,1,14,2016,"230037_1",4,7
2,2,20,1,14,2016,"230037_2",5,14
1,1,20,1,11,2016,"237003_1",4,11
2,2,16,1,11,2016,"237003_2",5,11
2,1,34,1,19,2016,"243067_1",4,19
1,2,34,1,19,2016,"243067_2",3,19
2,3,65,2,19,2016,"243067_4",4,19
2,1,18,1,13,2016,"244013_2",3,13
1,2,18,1,13,2016,"244013_1",2,13
2,1,36,1,13,2016,"244058_2",4,13
1,2,36,1,13,2016,"244058_1",2,13
2,3,69,2,13,2016,"244058_3",4,13
2,1,21,1,11,2016,"250005_2",4,11
1,2,16,1,11,2016,"250005_1",4,7
2,1,18,1,11,2016,"250010_2",2,11
2,1,23,4,11,2016,"250039_1",3,11
2,1,43,1,11,2016,"256015_4",3,11
1,2,37,1,11,2016,"256015_1",4,11
2,3,65,2,11,2016,"256015_8",4,11
1,3,67,2,11,2016,"256015_9",4,11
2,3,68,2,11,2016,"256015_10",3,11
2,3,77,2,11,2016,"256015_11",1,11
1,1,7,4,7,2016,"279054_1",3,7
2,1,12,3,13,2016,"282083_1",3,13
2,1,26,1,13,2016,"282089_2",2,13
1,2,22,1,13,2016,"282089_1",2,13
2,1,15,3,13,2016,"284086_2",4,13
1,3,47,2,13,2016,"284086_3",3,13
1,2,6,1,13,2016,"284086_1",2,13
2,1,18,1,13,2016,"310002_2",2,13
1,2,10,1,13,2016,"310002_1",2,13
2,1,19,4,13,2016,"310005_2",3,13
1,1,5,1,19,2016,"321009_1",2,19
2,2,8,1,19,2016,"321009_3",2,19
1,1,18,1,3,2016,"332080_1",2,3
2,2,27,1,3,2016,"332080_2",2,3
1,1,7,1,16,2016,"333081_1",5,4
2,2,6,1,16,2016,"333081_2",4,8
2,1,15,4,14,2016,"355063_1",3,14
